State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,1131,CITY QUESTION 1 (Apple Valley),01900,9001,YES,,,NP,0,16,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Apple Valley),01900,9002,NO,,,NP,0,16,0,0.00,0
MN,,,1132,CITY QUESTION 2 (Apple Valley),01900,9001,YES,,,NP,0,16,0,0.00,0
MN,,,1132,CITY QUESTION 2 (Apple Valley),01900,9002,NO,,,NP,0,16,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Bloomington),06616,9001,YES,,,NP,0,31,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Bloomington),06616,9002,NO,,,NP,0,31,0,0.00,0
MN,,,1132,CITY QUESTION 2 (Bloomington),06616,9001,YES,,,NP,0,31,0,0.00,0
MN,,,1132,CITY QUESTION 2 (Bloomington),06616,9002,NO,,,NP,0,31,0,0.00,0
MN,,,1133,CITY QUESTION 3 (Bloomington),06616,9001,YES,,,NP,0,31,0,0.00,0
MN,,,1133,CITY QUESTION 3 (Bloomington),06616,9002,NO,,,NP,0,31,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Edina),18188,9001,YES,,,NP,0,16,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Edina),18188,9002,NO,,,NP,0,16,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Golden Valley),24308,9001,YES,,,NP,0,8,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Golden Valley),24308,9002,NO,,,NP,0,8,0,0.00,0
MN,,,1132,CITY QUESTION 2 (Golden Valley),24308,9001,YES,,,NP,0,8,0,0.00,0
MN,,,1132,CITY QUESTION 2 (Golden Valley),24308,9002,NO,,,NP,0,8,0,0.00,0
MN,,,1133,CITY QUESTION 3 (Golden Valley),24308,9001,YES,,,NP,0,8,0,0.00,0
MN,,,1133,CITY QUESTION 3 (Golden Valley),24308,9002,NO,,,NP,0,8,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Marshall),40688,9001,YES,,,NP,0,3,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Marshall),40688,9002,NO,,,NP,0,3,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Minnetonka),43252,9001,YES,,,NP,0,21,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Minnetonka),43252,9002,NO,,,NP,0,21,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Mounds View),44530,9001,YES,,,NP,0,4,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Mounds View),44530,9002,NO,,,NP,0,4,0,0.00,0
MN,,,1131,CITY QUESTION 1 (North Branch),46798,9001,YES,,,NP,0,3,0,0.00,0
MN,,,1131,CITY QUESTION 1 (North Branch),46798,9002,NO,,,NP,0,3,0,0.00,0
MN,,,1132,CITY QUESTION 2 (North Branch),46798,9001,YES,,,NP,0,3,0,0.00,0
MN,,,1132,CITY QUESTION 2 (North Branch),46798,9002,NO,,,NP,0,3,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Rochester),54880,9001,YES,,,NP,0,80,0,0.00,0
MN,,,1131,CITY QUESTION 1 (Rochester),54880,9002,NO,,,NP,0,80,0,0.00,0
MN,,,1131,CITY QUESTION 1 (St. Paul),58000,9001,YES,,,NP,0,86,0,0.00,0
MN,,,1131,CITY QUESTION 1 (St. Paul),58000,9002,NO,,,NP,0,86,0,0.00,0
