State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,04,0005,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0005,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0010,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0010,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0015,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0015,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0020,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0020,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0025,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0025,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0030,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0030,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0035,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0035,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0040,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0040,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0045,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0045,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0050,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
MN,04,0050,0421,COUNTY QUESTION 1,,9002,NO,,,NP,0,1,0,0.00,0
MN,04,0055,0421,COUNTY QUESTION 1,,9001,YES,,,NP,0,1,0,0.00,0
