State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,0331,Governor & Lt Governor,,0301,John Krhin and Dennis Conn,,,R,1929,4105,1970,1.07,183778
MN,,,0331,Governor & Lt Governor,,0302,Ross Nova and Kerry Busby,,,R,1929,4105,1151,0.63,183778
MN,,,0331,Governor & Lt Governor,,0303,Loner Blue and Andrew Maass,,,R,1929,4105,587,0.32,183778
MN,,,0331,Governor & Lt Governor,,0304,Mike Lindell and Phillip C Parrish,,,R,1929,4105,58385,31.77,183778
MN,,,0331,Governor & Lt Governor,,0305,Raul J Estrada and Joe Kincaid,,,R,1929,4105,1034,0.56,183778
MN,,,0331,Governor & Lt Governor,,0306,Lisa Demuth and Ryan Wilson,,,R,1929,4105,82744,45.02,183778
MN,,,0331,Governor & Lt Governor,,0307,Kendall Qualls and Brian Nicholson,,,R,1929,4105,37907,20.63,183778
MN,,,0331,Governor & Lt Governor,,0401,Kobey J Layne and Paul Ference,,,DFL,1929,4105,11534,4.77,241557
MN,,,0331,Governor & Lt Governor,,0402,Mohammad Wazwaz and Murad Alshlool,,,DFL,1929,4105,3529,1.46,241557
MN,,,0331,Governor & Lt Governor,,0403,Thomas Evenstad and Jason Haarsager,,,DFL,1929,4105,1383,0.57,241557
MN,,,0331,Governor & Lt Governor,,0404,Amy Klobuchar and Ben Schierer,,,DFL,1929,4105,218732,90.55,241557
MN,,,0331,Governor & Lt Governor,,0405,Po Vang and Mark Frascone,,,DFL,1929,4105,3053,1.26,241557
MN,,,0331,Governor & Lt Governor,,0406,Bill E Gates J.R. and Leah Harris,,,DFL,1929,4105,1283,0.53,241557
MN,,,0331,Governor & Lt Governor,,0407,"Ole ""Viking"" Savior and Ashley ""Skol"" Johnson",,,DFL,1929,4105,2043,0.85,241557
