State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,1010,Council Member At Large (Anoka) (Elect 2),01720,9001,Andrew Boho,,,NP,8,8,469,9.13,5137
MN,,,1010,Council Member At Large (Anoka) (Elect 2),01720,9002,Marissa Carroll,,,NP,8,8,1272,24.76,5137
MN,,,1010,Council Member At Large (Anoka) (Elect 2),01720,9003,Jackie Young,,,NP,8,8,1082,21.06,5137
MN,,,1010,Council Member At Large (Anoka) (Elect 2),01720,9004,Sam Scott,,,NP,8,8,1284,25.00,5137
MN,,,1010,Council Member At Large (Anoka) (Elect 2),01720,9005,Joelle Alvord,,,NP,8,8,1030,20.05,5137
MN,,,1020,Council Member Ward 1 (Austin),02908,9001,Tom Compton,,,NP,0,2,0,0.00,0
MN,,,1020,Council Member Ward 1 (Austin),02908,9002,Laura Helle,,,NP,0,2,0,0.00,0
MN,,,1020,Council Member Ward 1 (Austin),02908,9003,Dayton Kehret,,,NP,0,2,0,0.00,0
MN,,,1024,Council Member Ward 3 (Austin),02908,9001,Oballa Oballa,,,NP,0,2,0,0.00,0
MN,,,1024,Council Member Ward 3 (Austin),02908,9002,Jeremy Hoffman,,,NP,0,2,0,0.00,0
MN,,,1024,Council Member Ward 3 (Austin),02908,9003,Cindy K. Stahl,,,NP,0,2,0,0.00,0
MN,,,1024,Council Member Ward 3 (Austin),02908,9004,Kris Heichel,,,NP,0,2,0,0.00,0
MN,,,1010,Council Member (Belle Plaine) (Elect 2),04834,9001,Shane Theas,,,NP,0,1,0,0.00,0
MN,,,1010,Council Member (Belle Plaine) (Elect 2),04834,9002,Dell Williams,,,NP,0,1,0,0.00,0
MN,,,1010,Council Member (Belle Plaine) (Elect 2),04834,9003,Brent Shaughnessy,,,NP,0,1,0,0.00,0
MN,,,1010,Council Member (Belle Plaine) (Elect 2),04834,9004,Sarah Duklet,,,NP,0,1,0,0.00,0
