State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,02,0705,1001,Mayor (Circle Pines),11494,9001,Dave Bartholomay,,,NP,0,1,0,0.00,0
MN,02,0705,1001,Mayor (Circle Pines),11494,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,0705,1010,Council Member (Circle Pines) (Elect 2),11494,9001,Matt Percy,,,NP,0,1,0,0.00,0
MN,02,0705,1010,Council Member (Circle Pines) (Elect 2),11494,9002,Steve McChesney,,,NP,0,1,0,0.00,0
MN,02,0705,1010,Council Member (Circle Pines) (Elect 2),11494,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,0705,1012,Special Election for Council Member (Circle Pines),11494,9001,Nici Dorner,,,NP,0,1,0,0.00,0
MN,02,0705,1012,Special Election for Council Member (Circle Pines),11494,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,0710,1001,Mayor (Circle Pines),11494,9001,Dave Bartholomay,,,NP,0,1,0,0.00,0
MN,02,0710,1001,Mayor (Circle Pines),11494,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,0710,1010,Council Member (Circle Pines) (Elect 2),11494,9001,Matt Percy,,,NP,0,1,0,0.00,0
MN,02,0710,1010,Council Member (Circle Pines) (Elect 2),11494,9002,Steve McChesney,,,NP,0,1,0,0.00,0
MN,02,0710,1010,Council Member (Circle Pines) (Elect 2),11494,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,0710,1012,Special Election for Council Member (Circle Pines),11494,9001,Nici Dorner,,,NP,0,1,0,0.00,0
MN,02,0710,1012,Special Election for Council Member (Circle Pines),11494,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2205,1001,Mayor (Lino Lakes),37322,9001,Rob Rafferty,,,NP,0,1,0,0.00,0
MN,02,2205,1001,Mayor (Lino Lakes),37322,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2205,1010,Council Member (Lino Lakes) (Elect 2),37322,9001,Chris Lyden,,,NP,0,1,0,0.00,0
MN,02,2205,1010,Council Member (Lino Lakes) (Elect 2),37322,9002,Christopher Stowe,,,NP,0,1,0,0.00,0
MN,02,2205,1010,Council Member (Lino Lakes) (Elect 2),37322,9003,Michael S. Ruhland,,,NP,0,1,0,0.00,0
MN,02,2205,1010,Council Member (Lino Lakes) (Elect 2),37322,9004,Catherine Decker,,,NP,0,1,0,0.00,0
MN,02,2205,1010,Council Member (Lino Lakes) (Elect 2),37322,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2210,1001,Mayor (Lino Lakes),37322,9001,Rob Rafferty,,,NP,0,1,0,0.00,0
MN,02,2210,1001,Mayor (Lino Lakes),37322,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2210,1010,Council Member (Lino Lakes) (Elect 2),37322,9001,Chris Lyden,,,NP,0,1,0,0.00,0
MN,02,2210,1010,Council Member (Lino Lakes) (Elect 2),37322,9002,Christopher Stowe,,,NP,0,1,0,0.00,0
MN,02,2210,1010,Council Member (Lino Lakes) (Elect 2),37322,9003,Michael S. Ruhland,,,NP,0,1,0,0.00,0
MN,02,2210,1010,Council Member (Lino Lakes) (Elect 2),37322,9004,Catherine Decker,,,NP,0,1,0,0.00,0
MN,02,2210,1010,Council Member (Lino Lakes) (Elect 2),37322,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2215,1001,Mayor (Lino Lakes),37322,9001,Rob Rafferty,,,NP,0,1,0,0.00,0
MN,02,2215,1001,Mayor (Lino Lakes),37322,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2215,1010,Council Member (Lino Lakes) (Elect 2),37322,9001,Chris Lyden,,,NP,0,1,0,0.00,0
MN,02,2215,1010,Council Member (Lino Lakes) (Elect 2),37322,9002,Christopher Stowe,,,NP,0,1,0,0.00,0
MN,02,2215,1010,Council Member (Lino Lakes) (Elect 2),37322,9003,Michael S. Ruhland,,,NP,0,1,0,0.00,0
MN,02,2215,1010,Council Member (Lino Lakes) (Elect 2),37322,9004,Catherine Decker,,,NP,0,1,0,0.00,0
MN,02,2215,1010,Council Member (Lino Lakes) (Elect 2),37322,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2220,1001,Mayor (Lino Lakes),37322,9001,Rob Rafferty,,,NP,0,1,0,0.00,0
MN,02,2220,1001,Mayor (Lino Lakes),37322,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2220,1010,Council Member (Lino Lakes) (Elect 2),37322,9001,Chris Lyden,,,NP,0,1,0,0.00,0
MN,02,2220,1010,Council Member (Lino Lakes) (Elect 2),37322,9002,Christopher Stowe,,,NP,0,1,0,0.00,0
MN,02,2220,1010,Council Member (Lino Lakes) (Elect 2),37322,9003,Michael S. Ruhland,,,NP,0,1,0,0.00,0
MN,02,2220,1010,Council Member (Lino Lakes) (Elect 2),37322,9004,Catherine Decker,,,NP,0,1,0,0.00,0
MN,02,2220,1010,Council Member (Lino Lakes) (Elect 2),37322,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2225,1001,Mayor (Lino Lakes),37322,9001,Rob Rafferty,,,NP,0,1,0,0.00,0
MN,02,2225,1001,Mayor (Lino Lakes),37322,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,02,2225,1010,Council Member (Lino Lakes) (Elect 2),37322,9001,Chris Lyden,,,NP,0,1,0,0.00,0
MN,02,2225,1010,Council Member (Lino Lakes) (Elect 2),37322,9002,Christopher Stowe,,,NP,0,1,0,0.00,0
