State,County ID,Precinct ID,Precinct Name,"Has Reported Statistics (1 = yes, 0 = no)",Number of Voters Registered as of 7:00 a.m. Election Day,Number of Voters that Registered on Election Day,Number of Signatures on the Polling Place Roster,"Number of Regular, Military, and Overseas Absentee Ballots",Number of Federal-Only Absentee Ballots,Number of President-Only Absentee Ballots,Total Number Voted
MN,02,0705,CIRCLE PINES P-1,0,0,0,0,0,0,0,0
MN,02,0710,CIRCLE PINES P-2,0,0,0,0,0,0,0,0
MN,02,2205,LINO LAKES P-1,0,0,0,0,0,0,0,0
MN,02,2210,LINO LAKES P-2,0,0,0,0,0,0,0,0
MN,02,2215,LINO LAKES P-3,0,0,0,0,0,0,0,0
MN,02,2220,LINO LAKES P-4,0,0,0,0,0,0,0,0
MN,02,2225,LINO LAKES P-5,0,0,0,0,0,0,0,0
MN,02,2230,LINO LAKES P-6,0,0,0,0,0,0,0,0
MN,02,2235,LINO LAKES P-7,0,0,0,0,0,0,0,0
MN,02,8033,ISD 15 P2 OAK GROVE CITY HALL,0,0,0,0,0,0,0,0
MN,02,8034,ISD 15 P3 EAST BETHEL SR CENTER,0,0,0,0,0,0,0,0
MN,02,8038,ISD 13 P1 - VALLEY VIEW ELEMENTARY SCHOOL,0,0,0,0,0,0,0,0
MN,02,8039,ISD 13 P2 - HIGHLAND ELEMENTARY SCHOOL,0,0,0,0,0,0,0,0
MN,02,8040,ISD 14 P1 FRIDLEY COMMUNITY CENTER,0,0,0,0,0,0,0,0
MN,02,8041,ISD 16 P1 WOODCREST ELEMENTARY,0,0,0,0,0,0,0,0
MN,02,8042,ISD 16 P2 NTL. SPORTS CTR - THE WELCOME CTR,0,0,0,0,0,0,0,0
MN,02,8044,ISD 15 P1 CENTRAL SERVICES CENTER,0,0,0,0,0,0,0,0
MN,02,9359,ISD 11 SB1 P1 - RAMSEY MUNICIPAL CENTER,0,0,0,0,0,0,0,0
MN,02,9361,ISD 11 SB1 P3 - ANOKA COVENANT CHURCH,0,0,0,0,0,0,0,0
MN,02,9362,ISD 11 SB1 P4 - ZION LUTHERAN CHURCH,0,0,0,0,0,0,0,0
MN,02,9363,ISD 11 SB1 P5 - GREENHAVEN COUNTRY CLUB,0,0,0,0,0,0,0,0
MN,02,9364,ISD 11 SB2 P1 - BRIDGEWOOD COMMUNITY CHURCH,0,0,0,0,0,0,0,0
MN,02,9365,ISD 11 SB2 P2 - OAK PARK COMMUNITY CHURCH,0,0,0,0,0,0,0,0
MN,02,9366,ISD 11 SB2 P3 - BLAINE UNITED METHODIST CHURCH,0,0,0,0,0,0,0,0
MN,02,9367,ISD 11 SB2 P4 - KING OF GLORY CHURCH,0,0,0,0,0,0,0,0
MN,02,9368,ISD 11 SB2 P5 - BUNKER HILLS GOLF CLUB,0,0,0,0,0,0,0,0
MN,02,9376,ISD 11 SB5 P5 - SPRINGBROOK NATURE CENTER,0,0,0,0,0,0,0,0
MN,02,9377,ISD 11 SB5 P6 - EMMA B HOWE YMCA - COMMUNITY ROOM,0,0,0,0,0,0,0,0
MN,02,9378,ISD 11 SB5 P7 - SPIRIT OF GRACE CHURCH,0,0,0,0,0,0,0,0
MN,02,9658,ISD 11 SB1 P2 - PUBLIC WORKS BUILDING,0,0,0,0,0,0,0,0
MN,03,8079,ISD 2889 LPA ELEMENTARY SCHOOL,0,0,0,0,0,0,0,0
MN,03,8993,ISD 2889 LPA HIGH SCHOOL,0,0,0,0,0,0,0,0
MN,04,0005,ALASKA TWP,0,0,0,0,0,0,0,0
MN,04,0010,BATTLE TWP,0,0,0,0,0,0,0,0
MN,04,0015,BEMIDJI TWP,0,0,0,0,0,0,0,0
MN,04,0020,BEMIDJI W-1,0,0,0,0,0,0,0,0
MN,04,0025,BEMIDJI W-2,0,0,0,0,0,0,0,0
MN,04,0030,BEMIDJI W-3,0,0,0,0,0,0,0,0
MN,04,0035,BEMIDJI W-4,0,0,0,0,0,0,0,0
MN,04,0040,BEMIDJI W-5,0,0,0,0,0,0,0,0
MN,04,0045,BENVILLE TWP,0,0,0,0,0,0,0,0
MN,04,0050,BIRCH TWP,0,0,0,0,0,0,0,0
MN,04,0055,BLACKDUCK,0,0,0,0,0,0,0,0
MN,04,0060,BUZZLE TWP,0,0,0,0,0,0,0,0
MN,04,0065,CORMANT TWP,0,0,0,0,0,0,0,0
MN,04,0070,DURAND TWP,0,0,0,0,0,0,0,0
MN,04,0075,ECKLES TWP,0,0,0,0,0,0,0,0
MN,04,0080,FROHN TWP,0,0,0,0,0,0,0,0
MN,04,0085,FUNKLEY,0,0,0,0,0,0,0,0
MN,04,0090,GRANT VALLEY TWP,0,0,0,0,0,0,0,0
MN,04,0095,HAGALI TWP,0,0,0,0,0,0,0,0
MN,04,0100,HAMRE TWP,0,0,0,0,0,0,0,0
MN,04,0105,HINES TWP,0,0,0,0,0,0,0,0
MN,04,0110,HORNET TWP,0,0,0,0,0,0,0,0
MN,04,0115,JONES TWP,0,0,0,0,0,0,0,0
MN,04,0120,KELLIHER,0,0,0,0,0,0,0,0
MN,04,0125,KELLIHER TWP,0,0,0,0,0,0,0,0
MN,04,0130,LAMMERS TWP,0,0,0,0,0,0,0,0
MN,04,0135,LANGOR TWP,0,0,0,0,0,0,0,0
MN,04,0140,LEE TWP,0,0,0,0,0,0,0,0
MN,04,0145,LIBERTY TWP,0,0,0,0,0,0,0,0
MN,04,0150,MAPLE RIDGE TWP,0,0,0,0,0,0,0,0
MN,04,0155,MINNIE TWP,0,0,0,0,0,0,0,0
MN,04,0160,MOOSE LAKE TWP,0,0,0,0,0,0,0,0
MN,04,0165,NEBISH TWP,0,0,0,0,0,0,0,0
MN,04,0170,NORTHERN TWP,0,0,0,0,0,0,0,0
MN,04,0175,O'BRIEN TWP,0,0,0,0,0,0,0,0
MN,04,0180,PONEMAH PREC,0,0,0,0,0,0,0,0
MN,04,0185,PORT HOPE TWP,0,0,0,0,0,0,0,0
