State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9001,Kim Humann,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9002,Beth Johnson,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9003,John R. Wilcox,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9004,Dan Vick,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5010,School Board Member District 1 (ISD #11),0011,9001,Linda Hoekman,,,NP,5,5,2490,55.74,4467
MN,,,5010,School Board Member District 1 (ISD #11),0011,9002,Erin Heers-McArdle,,,NP,5,5,1971,44.12,4467
MN,,,5010,School Board Member District 1 (ISD #11),0011,9901,WRITE-IN,,,WI,5,5,6,0.13,4467
MN,,,5012,School Board Member District 2 (ISD #11),0011,9001,Susan Witt,,,NP,5,5,2189,49.83,4393
MN,,,5012,School Board Member District 2 (ISD #11),0011,9002,Zach Arco,,,NP,5,5,2202,50.13,4393
MN,,,5012,School Board Member District 2 (ISD #11),0011,9901,WRITE-IN,,,WI,5,5,2,0.05,4393
MN,,,5018,School Board Member District 5 (ISD #11),0011,9001,Scott Simmons,,,NP,7,7,1405,43.16,3255
MN,,,5018,School Board Member District 5 (ISD #11),0011,9002,Cyrus Wilson,,,NP,7,7,67,2.06,3255
MN,,,5018,School Board Member District 5 (ISD #11),0011,9003,Michelle Langenfeld,,,NP,7,7,1775,54.53,3255
MN,,,5018,School Board Member District 5 (ISD #11),0011,9901,WRITE-IN,,,WI,7,7,8,0.25,3255
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #13),0013,9001,YES,,,NP,2,2,1662,63.51,2617
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #13),0013,9002,NO,,,NP,2,2,955,36.49,2617
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #13),0013,9001,YES,,,NP,2,2,1907,72.98,2613
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #13),0013,9002,NO,,,NP,2,2,706,27.02,2613
MN,,,5001,Special Election for School Board Member (ISD #13),0013,9001,Gregg Westerberg,,,NP,2,2,237,9.54,2485
MN,,,5001,Special Election for School Board Member (ISD #13),0013,9002,Michelle Pettway,,,NP,2,2,1576,63.42,2485
MN,,,5001,Special Election for School Board Member (ISD #13),0013,9003,Cheryl Ekstrand,,,NP,2,2,660,26.56,2485
MN,,,5001,Special Election for School Board Member (ISD #13),0013,9901,WRITE-IN,,,WI,2,2,12,0.48,2485
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9001,Ibsen Gabriel,,,NP,1,1,403,11.10,3632
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9002,Jake Karnopp,,,NP,1,1,997,27.45,3632
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9003,Sara Jones,,,NP,1,1,1021,28.11,3632
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9004,Erik Keeler,,,NP,1,1,921,25.36,3632
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9005,Roger Ungemach,,,NP,1,1,264,7.27,3632
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9901,WRITE-IN,,,WI,1,1,26,0.72,3632
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #15),0015,9001,YES,,,NP,3,3,1506,38.42,3920
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #15),0015,9002,NO,,,NP,3,3,2414,61.58,3920
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #15),0015,9001,YES,,,NP,3,3,1456,37.20,3914
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #15),0015,9002,NO,,,NP,3,3,2458,62.80,3914
MN,,,5000,School Board Member (ISD #16) (Elect 3),0016,9001,Amy Hennen,,,NP,2,2,845,30.02,2815
MN,,,5000,School Board Member (ISD #16) (Elect 3),0016,9002,Tony Easter,,,NP,2,2,857,30.44,2815
MN,,,5000,School Board Member (ISD #16) (Elect 3),0016,9003,Allie Schmidt,,,NP,2,2,1057,37.55,2815
MN,,,5000,School Board Member (ISD #16) (Elect 3),0016,9901,WRITE-IN,,,WI,2,2,56,1.99,2815
