State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9001,Kim Humann,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9002,Beth Johnson,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9003,John R. Wilcox,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9004,Dan Vick,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member at Large (SSD #6),0006,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5010,School Board Member District 1 (ISD #11),0011,9001,Linda Hoekman,,,NP,0,5,0,0.00,0
MN,,,5010,School Board Member District 1 (ISD #11),0011,9002,Erin Heers-McArdle,,,NP,0,5,0,0.00,0
MN,,,5010,School Board Member District 1 (ISD #11),0011,9901,WRITE-IN,,,WI,0,5,0,0.00,0
MN,,,5012,School Board Member District 2 (ISD #11),0011,9001,Susan Witt,,,NP,0,5,0,0.00,0
MN,,,5012,School Board Member District 2 (ISD #11),0011,9002,Zach Arco,,,NP,0,5,0,0.00,0
MN,,,5012,School Board Member District 2 (ISD #11),0011,9901,WRITE-IN,,,WI,0,5,0,0.00,0
MN,,,5018,School Board Member District 5 (ISD #11),0011,9001,Scott Simmons,,,NP,0,7,0,0.00,0
MN,,,5018,School Board Member District 5 (ISD #11),0011,9002,Cyrus Wilson,,,NP,0,7,0,0.00,0
MN,,,5018,School Board Member District 5 (ISD #11),0011,9003,Michelle Langenfeld,,,NP,0,7,0,0.00,0
MN,,,5018,School Board Member District 5 (ISD #11),0011,9901,WRITE-IN,,,WI,0,7,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #13),0013,9001,Gregg Westerberg,,,NP,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #13),0013,9002,Michelle Pettway,,,NP,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #13),0013,9003,Cheryl Ekstrand,,,NP,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #13),0013,9901,WRITE-IN,,,WI,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9001,Ibsen Gabriel,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9002,Jake Karnopp,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9003,Sara Jones,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9004,Erik Keeler,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9005,Roger Ungemach,,,NP,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #14) (Elect 3),0014,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5000,School Board Member (ISD #16) (Elect 3),0016,9001,Amy Hennen,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #16) (Elect 3),0016,9002,Tony Easter,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #16) (Elect 3),0016,9003,Allie Schmidt,,,NP,0,2,0,0.00,0
MN,,,5000,School Board Member (ISD #16) (Elect 3),0016,9901,WRITE-IN,,,WI,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #16),0016,9001,Ryan McLaughlin,,,NP,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #16),0016,9002,Kelly McClellan,,,NP,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #16),0016,9901,WRITE-IN,,,WI,0,2,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #91),0091,9001,Tony Newman,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #91),0091,9002,Patrick S. Poirier,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #91),0091,9901,WRITE-IN,,,WI,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #93),0093,9001,Ryan Leonzal,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #93),0093,9002,Steven Schmidt,,,NP,0,1,0,0.00,0
MN,,,5001,Special Election for School Board Member (ISD #93),0093,9901,WRITE-IN,,,WI,0,1,0,0.00,0
