State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #13),0013,9001,YES,,,NP,2,2,1662,63.51,2617
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #13),0013,9002,NO,,,NP,2,2,955,36.49,2617
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #13),0013,9001,YES,,,NP,2,2,1907,72.98,2613
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #13),0013,9002,NO,,,NP,2,2,706,27.02,2613
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #15),0015,9001,YES,,,NP,3,3,1506,38.42,3920
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #15),0015,9002,NO,,,NP,3,3,2414,61.58,3920
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #15),0015,9001,YES,,,NP,3,3,1456,37.20,3914
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #15),0015,9002,NO,,,NP,3,3,2458,62.80,3914
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #77),0077,9001,YES,,,NP,0,9,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #77),0077,9002,NO,,,NP,0,9,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #77),0077,9001,YES,,,NP,0,9,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #77),0077,9002,NO,,,NP,0,9,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #129),0129,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #129),0129,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #129),0129,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #129),0129,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #173),0173,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #173),0173,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #182),0182,9001,YES,,,NP,1,5,64,47.41,135
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #182),0182,9002,NO,,,NP,1,5,71,52.59,135
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #186),0186,9001,YES,,,NP,1,3,109,46.19,236
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #186),0186,9002,NO,,,NP,1,3,127,53.81,236
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #186),0186,9001,YES,,,NP,1,3,91,38.56,236
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #186),0186,9002,NO,,,NP,1,3,145,61.44,236
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #192),0192,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #192),0192,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #194),0194,9001,YES,,,NP,0,20,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #194),0194,9002,NO,,,NP,0,20,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #194),0194,9001,YES,,,NP,0,20,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #194),0194,9002,NO,,,NP,0,20,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #197),0197,9001,YES,,,NP,0,5,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #197),0197,9002,NO,,,NP,0,5,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #197),0197,9001,YES,,,NP,0,5,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #197),0197,9002,NO,,,NP,0,5,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #199),0199,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #199),0199,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #199),0199,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #199),0199,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #200),0200,9001,YES,,,NP,1,6,435,49.94,871
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #200),0200,9002,NO,,,NP,1,6,436,50.06,871
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #213),0213,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #213),0213,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #213),0213,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #213),0213,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #242),0242,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #242),0242,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #276),0276,9001,YES,,,NP,0,13,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #276),0276,9002,NO,,,NP,0,13,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #277),0277,9001,YES,,,NP,0,2,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #277),0277,9002,NO,,,NP,0,2,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #277),0277,9001,YES,,,NP,0,2,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #277),0277,9002,NO,,,NP,0,2,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #279),0279,9001,YES,,,NP,0,6,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #279),0279,9002,NO,,,NP,0,6,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #280),0280,9001,YES,,,NP,0,14,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #280),0280,9002,NO,,,NP,0,14,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #280),0280,9001,YES,,,NP,0,14,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #280),0280,9002,NO,,,NP,0,14,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #282),0282,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #282),0282,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #282),0282,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #282),0282,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #284),0284,9001,YES,,,NP,0,10,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #284),0284,9002,NO,,,NP,0,10,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #286),0286,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #286),0286,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #297),0297,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #297),0297,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #297),0297,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #297),0297,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #317),0317,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #317),0317,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #318),0318,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #318),0318,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #318),0318,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #318),0318,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5033,SCHOOL DISTRICT QUESTION 3 (ISD #318),0318,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5033,SCHOOL DISTRICT QUESTION 3 (ISD #318),0318,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #347),0347,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #347),0347,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #347),0347,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #347),0347,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #463),0463,9001,YES,,,NP,0,3,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #463),0463,9002,NO,,,NP,0,3,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #495),0495,9001,YES,,,NP,1,1,279,69.06,404
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #495),0495,9002,NO,,,NP,1,1,125,30.94,404
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #495),0495,9001,YES,,,NP,1,1,165,40.94,403
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #495),0495,9002,NO,,,NP,1,1,238,59.06,403
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #511),0511,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #511),0511,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #511),0511,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #511),0511,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #534),0534,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #534),0534,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #534),0534,9001,YES,,,NP,0,4,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #534),0534,9002,NO,,,NP,0,4,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #535),0535,9001,YES,,,NP,0,85,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #535),0535,9002,NO,,,NP,0,85,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #542),0542,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #542),0542,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #561),0561,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #561),0561,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #564),0564,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #564),0564,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #564),0564,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5032,SCHOOL DISTRICT QUESTION 2 (ISD #564),0564,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5033,SCHOOL DISTRICT QUESTION 3 (ISD #564),0564,9001,YES,,,NP,0,1,0,0.00,0
MN,,,5033,SCHOOL DISTRICT QUESTION 3 (ISD #564),0564,9002,NO,,,NP,0,1,0,0.00,0
MN,,,5031,SCHOOL DISTRICT QUESTION 1 (ISD #600),0600,9001,YES,,,NP,0,1,0,0.00,0
