State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,0194,State Representative District 4A,4A,0301,Andrew Rockhold,,,R,12,13,1094,100.00,1094
MN,,,0194,State Representative District 4A,4A,0401,Shelly Carlson,,,DFL,12,13,1385,35.43,3909
MN,,,0194,State Representative District 4A,4A,0402,Erika Yoney,,,DFL,12,13,2524,64.57,3909
MN,,,0199,State Representative District 6B,6B,0301,Josh Heintzeman,,,R,16,25,2206,89.57,2463
MN,,,0199,State Representative District 6B,6B,0302,Matthew Eric Zinda,,,R,16,25,257,10.43,2463
MN,,,0199,State Representative District 6B,6B,0401,Nicky Hardy,,,DFL,16,25,1611,100.00,1611
MN,,,0205,State Representative District 9B,9B,0301,Craig Horlocker,,,R,24,77,82,13.31,616
MN,,,0205,State Representative District 9B,9B,0302,Tom Murphy,,,R,24,77,534,86.69,616
MN,,,0205,State Representative District 9B,9B,0401,Owen Werner,,,DFL,24,77,420,100.00,420
MN,,,0206,State Representative District 10A,10A,0301,Mark Striemer,,,R,25,73,684,62.98,1086
MN,,,0206,State Representative District 10A,10A,0302,Brian Lindquist,,,R,25,73,402,37.02,1086
MN,,,0206,State Representative District 10A,10A,0401,Melissa Maertens,,,DFL,25,73,321,100.00,321
MN,,,0214,State Representative District 14A,14A,0301,Mike Conway,,,R,18,18,1822,62.25,2927
MN,,,0214,State Representative District 14A,14A,0302,John Jose,,,R,18,18,1105,37.75,2927
MN,,,0214,State Representative District 14A,14A,0401,Abdi Daisane,,,DFL,18,18,2262,62.52,3618
MN,,,0214,State Representative District 14A,14A,0402,Paul R. F. Schumacher,,,DFL,18,18,1356,37.48,3618
MN,,,0217,State Representative District 15B,15B,0301,Geri Theis,,,R,17,77,696,100.00,696
MN,,,0217,State Representative District 15B,15B,0401,Lydell Sik,,,DFL,17,77,36,12.86,280
MN,,,0217,State Representative District 15B,15B,0402,Keith R. Klawitter,,,DFL,17,77,244,87.14,280
MN,,,0220,State Representative District 17A,17A,0301,Wayne Olson,,,R,7,36,67,16.14,415
MN,,,0220,State Representative District 17A,17A,0302,Dawn Gillman,,,R,7,36,348,83.86,415
MN,,,0220,State Representative District 17A,17A,0401,Mali Anderson,,,DFL,7,36,149,100.00,149
MN,,,0227,State Representative District 20B,20B,0301,Brady Rouhoff,,,R,13,51,239,37.82,632
MN,,,0227,State Representative District 20B,20B,0302,Sara Bertschinger,,,R,13,51,393,62.18,632
MN,,,0227,State Representative District 20B,20B,0401,Mark Alvin Thoreson,,,DFL,13,51,83,25.38,327
MN,,,0227,State Representative District 20B,20B,0402,Steve Holm,,,DFL,13,51,244,74.62,327
MN,,,0232,State Representative District 23A,23A,0301,Nick Ronnenberg,,,R,7,70,327,100.00,327
MN,,,0232,State Representative District 23A,23A,0401,Colin J. Minehart,,,DFL,7,70,58,34.73,167
MN,,,0232,State Representative District 23A,23A,0402,Joe Staloch,,,DFL,7,70,109,65.27,167
MN,,,0245,State Representative District 29B,29B,0301,Marion (O'Neill) Rarick,,,R,14,14,1728,100.00,1728
MN,,,0245,State Representative District 29B,29B,0401,Marcus D. Claxton,,,DFL,14,14,560,41.36,1354
MN,,,0245,State Representative District 29B,29B,0402,Colton Kratky,,,DFL,14,14,794,58.64,1354
MN,,,0262,State Representative District 38A,38A,0301,Charlie Kistler,,,R,0,12,0,0.00,0
MN,,,0262,State Representative District 38A,38A,0302,Yelena S. Kurdyumova,,,R,0,12,0,0.00,0
MN,,,0262,State Representative District 38A,38A,0401,Richard A. Klatte,,,DFL,0,12,0,0.00,0
MN,,,0262,State Representative District 38A,38A,0402,Wynfred Russell,,,DFL,0,12,0,0.00,0
MN,,,0262,State Representative District 38A,38A,0403,Huldah Momanyi-Hiltsley,,,DFL,0,12,0,0.00,0
MN,,,0265,State Representative District 39B,39B,0301,KT Jacobs,,,R,7,14,479,100.00,479
MN,,,0265,State Representative District 39B,39B,0401,Justice Spriggs,,,DFL,7,14,783,26.86,2915
MN,,,0265,State Representative District 39B,39B,0402,Am�da M�rquez Simula,,,DFL,7,14,2132,73.14,2915
MN,,,0266,State Representative District 40A,40A,0301,Luis Withrow,,,R,6,14,746,100.00,746
MN,,,0266,State Representative District 40A,40A,0401,Murwo S Mohamed,,,DFL,6,14,139,5.48,2537
MN,,,0266,State Representative District 40A,40A,0402,Aisha Elmquist,,,DFL,6,14,2398,94.52,2537
MN,,,0295,State Representative District 54B,54B,0301,Chris Steward,,,R,0,18,0,0.00,0
MN,,,0295,State Representative District 54B,54B,0302,Natalie Barnes,,,R,0,18,0,0.00,0
MN,,,0295,State Representative District 54B,54B,0401,Christopher Kartschoke,,,DFL,0,18,0,0.00,0
MN,,,0297,State Representative District 55B,55B,0301,Todd Buchwald,,,R,11,11,1856,100.00,1856
MN,,,0297,State Representative District 55B,55B,0401,Adam Silkey,,,DFL,11,11,674,13.51,4990
MN,,,0297,State Representative District 55B,55B,0402,Kriystauhl Fitchett,,,DFL,11,11,619,12.40,4990
MN,,,0297,State Representative District 55B,55B,0403,Yusuf Haji,,,DFL,11,11,646,12.95,4990
