State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,0125,State Senator District 5,5,0301,Mike Wiener,,,R,35,143,1232,51.12,2410
MN,,,0125,State Senator District 5,5,0302,Paul Utke,,,R,35,143,1178,48.88,2410
MN,,,0125,State Senator District 5,5,0401,Skylar Fynboh,,,DFL,35,143,885,100.00,885
MN,,,0130,State Senator District 10,10,0301,Nathan Wesenberg,,,R,57,123,3418,76.47,4470
MN,,,0130,State Senator District 10,10,0302,Deb Holthaus,,,R,57,123,1052,23.53,4470
MN,,,0130,State Senator District 10,10,0401,Tara Killen,,,DFL,57,123,1323,100.00,1323
MN,,,0133,State Senator District 13,13,0301,Jared J. Gapinski,,,R,49,49,6449,65.87,9790
MN,,,0133,State Senator District 13,13,0302,Aaron Brutger,,,R,49,49,3341,34.13,9790
MN,,,0133,State Senator District 13,13,0401,Trent C Dilks,,,DFL,49,49,4639,100.00,4639
MN,,,0139,State Senator District 19,19,0301,John R. Jasinski,,,R,36,53,4514,89.44,5047
MN,,,0139,State Senator District 19,19,0302,Crystal Alan,,,R,36,53,533,10.56,5047
MN,,,0139,State Senator District 19,19,0401,Sam Powell,,,DFL,36,53,2823,80.02,3528
MN,,,0139,State Senator District 19,19,0402,Adama Youhn Doumbouya,,,DFL,36,53,705,19.98,3528
MN,,,0140,State Senator District 20,20,0301,"Theodore ""Teddy"" Kimble",,,R,28,91,259,15.37,1685
MN,,,0140,State Senator District 20,20,0302,Steven E Jacob,,,R,28,91,1426,84.63,1685
MN,,,0140,State Senator District 20,20,0401,Jason Lohmann,,,DFL,28,91,1127,100.00,1127
MN,,,0143,State Senator District 23,23,0301,Gene Dornink,,,R,9,113,514,100.00,514
MN,,,0143,State Senator District 23,23,0401,Angie Hanson,,,DFL,9,113,251,79.43,316
MN,,,0143,State Senator District 23,23,0402,Jennifer Ney,,,DFL,9,113,65,20.57,316
MN,,,0149,State Senator District 29,29,0301,Michael Holmstrom Jr,,,R,31,37,3098,100.00,3098
MN,,,0149,State Senator District 29,29,0401,Dan Fiskum,,,DFL,31,37,950,41.32,2299
MN,,,0149,State Senator District 29,29,0402,Louis McNutt,,,DFL,31,37,1349,58.68,2299
MN,,,0157,State Senator District 37,37,0301,Brady Hoag,,,R,0,23,0,0.00,0
MN,,,0157,State Senator District 37,37,0401,Austin Chanen,,,DFL,0,23,0,0.00,0
MN,,,0157,State Senator District 37,37,0402,Kristy Janigo,,,DFL,0,23,0,0.00,0
MN,,,0158,State Senator District 38,38,0301,Brad Olson,,,R,0,21,0,0.00,0
MN,,,0158,State Senator District 38,38,0401,Nehemiah Garley,,,DFL,0,21,0,0.00,0
MN,,,0158,State Senator District 38,38,0402,Susan Pha,,,DFL,0,21,0,0.00,0
MN,,,0164,State Senator District 44,44,0301,James Tacheny,,,R,12,27,1598,100.00,1598
MN,,,0164,State Senator District 44,44,0401,Teresa Miller,,,DFL,12,27,1717,48.01,3576
MN,,,0164,State Senator District 44,44,0402,Sam Rosemark,,,DFL,12,27,1859,51.99,3576
MN,,,0166,State Senator District 46,46,0301,Kayla Wright,,,R,0,22,0,0.00,0
MN,,,0166,State Senator District 46,46,0401,Ron Latz,,,DFL,0,22,0,0.00,0
MN,,,0166,State Senator District 46,46,0402,Lynette Lungay Dumalag,,,DFL,0,22,0,0.00,0
MN,,,0170,State Senator District 50,50,0301,Owen Michaelson,,,R,0,28,0,0.00,0
MN,,,0170,State Senator District 50,50,0401,John McClellan,,,DFL,0,28,0,0.00,0
MN,,,0170,State Senator District 50,50,0402,Amal Ibrahim,,,DFL,0,28,0,0.00,0
MN,,,0170,State Senator District 50,50,0403,Nelly Korman,,,DFL,0,28,0,0.00,0
MN,,,0170,State Senator District 50,50,0404,Karla Hult,,,DFL,0,28,0,0.00,0
MN,,,0176,State Senator District 56,56,0301,Julida Alter,,,R,24,24,2013,40.66,4951
MN,,,0176,State Senator District 56,56,0302,Raymond David Petersen,,,R,24,24,2938,59.34,4951
MN,,,0176,State Senator District 56,56,0401,Erin Maye Quade,,,DFL,24,24,10270,100.00,10270
MN,,,0182,State Senator District 62,62,0401,Omar Fateh,,,DFL,0,26,0,0.00,0
MN,,,0182,State Senator District 62,62,0402,Jeanelle Austin,,,DFL,0,26,0,0.00,0
MN,,,0182,State Senator District 62,62,0403,Brenda Short,,,DFL,0,26,0,0.00,0
MN,,,0185,State Senator District 65,65,0301,_ Rocco,,,R,12,24,566,100.00,566
MN,,,0185,State Senator District 65,65,0401,Natasha Bennett,,,DFL,12,24,1494,28.33,5274
MN,,,0185,State Senator District 65,65,0402,Robyn Gulley,,,DFL,12,24,3780,71.67,5274
