State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,0104,U.S. Representative District 1,1,0301,Gregory A. Goetzman,,,R,296,750,788,4.59,17162
MN,,,0104,U.S. Representative District 1,1,0302,Oliver R. Morlan,,,R,296,750,799,4.66,17162
MN,,,0104,U.S. Representative District 1,1,0303,Brad Finstad,,,R,296,750,15575,90.75,17162
MN,,,0104,U.S. Representative District 1,1,0401,Jake Johnson,,,DFL,296,750,11179,80.49,13889
MN,,,0104,U.S. Representative District 1,1,0402,Alex Eaton,,,DFL,296,750,2710,19.51,13889
MN,,,0105,U.S. Representative District 2,2,0301,Eric Pratt,,,R,202,260,32687,100.00,32687
MN,,,0105,U.S. Representative District 2,2,0401,Abdi Abdulle,,,DFL,202,260,1823,2.47,73936
MN,,,0105,U.S. Representative District 2,2,0402,Matthew D. Klein,,,DFL,202,260,22644,30.63,73936
MN,,,0105,U.S. Representative District 2,2,0403,Hugh McTavish,,,DFL,202,260,1775,2.40,73936
MN,,,0105,U.S. Representative District 2,2,0404,Matt Little,,,DFL,202,260,34969,47.30,73936
MN,,,0105,U.S. Representative District 2,2,0405,Kaela Berg,,,DFL,202,260,12380,16.74,73936
MN,,,0105,U.S. Representative District 2,2,0406,Christopher Mosel,,,DFL,202,260,345,0.47,73936
MN,,,0106,U.S. Representative District 3,3,0301,Tyler Bass,,,R,31,229,3062,59.07,5184
MN,,,0106,U.S. Representative District 3,3,0302,Quentin Wittrock,,,R,31,229,2122,40.93,5184
MN,,,0106,U.S. Representative District 3,3,0401,Kelly Morrison,,,DFL,31,229,7135,100.00,7135
MN,,,0107,U.S. Representative District 4,4,0301,Gene Rechtzigel,,,R,109,212,1703,11.25,15143
MN,,,0107,U.S. Representative District 4,4,0302,Paul Wikstrom,,,R,109,212,10932,72.19,15143
MN,,,0107,U.S. Representative District 4,4,0303,Paul Xiong,,,R,109,212,2508,16.56,15143
MN,,,0107,U.S. Representative District 4,4,0401,Betty McCollum,,,DFL,109,212,44662,85.95,51960
MN,,,0107,U.S. Representative District 4,4,0402,Aswar Rahman,,,DFL,109,212,7298,14.05,51960
MN,,,0108,U.S. Representative District 5,5,0301,Abbey Zieska,,,R,21,217,131,6.15,2129
MN,,,0108,U.S. Representative District 5,5,0302,John Nagel,,,R,21,217,1073,50.40,2129
MN,,,0108,U.S. Representative District 5,5,0303,Angie Windhauser,,,R,21,217,374,17.57,2129
MN,,,0108,U.S. Representative District 5,5,0304,Dalia Al-Aqidi,,,R,21,217,551,25.88,2129
MN,,,0108,U.S. Representative District 5,5,0401,Latonya T. Reeves,,,DFL,21,217,402,5.24,7676
MN,,,0108,U.S. Representative District 5,5,0402,Ilhan Omar,,,DFL,21,217,5860,76.34,7676
MN,,,0108,U.S. Representative District 5,5,0403,Nate Schluter,,,DFL,21,217,662,8.62,7676
MN,,,0108,U.S. Representative District 5,5,0404,Abena A. McKenzie,,,DFL,21,217,165,2.15,7676
MN,,,0108,U.S. Representative District 5,5,0405,Julie Trang Le,,,DFL,21,217,587,7.65,7676
MN,,,0109,U.S. Representative District 6,6,0301,Tom Emmer,,,R,228,276,38229,81.30,47022
MN,,,0109,U.S. Representative District 6,6,0302,Chris Corey,,,R,228,276,1813,3.86,47022
MN,,,0109,U.S. Representative District 6,6,0303,Mike Foley,,,R,228,276,6980,14.84,47022
MN,,,0109,U.S. Representative District 6,6,0401,Doug Chapin,,,DFL,228,276,38254,100.00,38254
MN,,,0110,U.S. Representative District 7,7,0301,Michelle Fischbach,,,R,696,1327,31442,100.00,31442
MN,,,0110,U.S. Representative District 7,7,0401,Steve Carlson,,,DFL,696,1327,7154,34.47,20754
MN,,,0110,U.S. Representative District 7,7,0402,Erik Osberg,,,DFL,696,1327,13600,65.53,20754
MN,,,0111,U.S. Representative District 8,8,0301,Pete Stauber,,,R,346,834,17841,87.00,20507
MN,,,0111,U.S. Representative District 8,8,0302,Anthony Hamilton,,,R,346,834,2666,13.00,20507
MN,,,0111,U.S. Representative District 8,8,0401,Luke Gulbranson,,,DFL,346,834,3043,17.85,17051
MN,,,0111,U.S. Representative District 8,8,0402,John Munter,,,DFL,346,834,1264,7.41,17051
MN,,,0111,U.S. Representative District 8,8,0403,Trina Swanson,,,DFL,346,834,12744,74.74,17051
