State,County ID,Precinct name,Office ID,Office name,District,Candidate order code,Candidate name,Suffix,Incumbent code,Party abbreviation,Number of precincts reporting,Total number of precincts voting for the office,Votes for candidate,Percentage of votes for candidate out of total votes for Office,Total number of votes for Office in area
MN,,,0102,U.S. Senator,,0301,Adam Schwarze,,,R,1929,4105,42977,23.75,180943
MN,,,0102,U.S. Senator,,0302,"Bob ""Again"" Carney Jr.",,,R,1929,4105,2368,1.31,180943
MN,,,0102,U.S. Senator,,0303,Ahmad R. (Raafat) Hassan,,,R,1929,4105,715,0.40,180943
MN,,,0102,U.S. Senator,,0304,Patrick Munro,,,R,1929,4105,2936,1.62,180943
MN,,,0102,U.S. Senator,,0305,Joyce Lacey,,,R,1929,4105,3340,1.85,180943
MN,,,0102,U.S. Senator,,0306,Tom Weiler,,,R,1929,4105,10855,6.00,180943
MN,,,0102,U.S. Senator,,0307,Cynthia Gail,,,R,1929,4105,2650,1.46,180943
MN,,,0102,U.S. Senator,,0309,Michele Tafoya,,,R,1929,4105,95447,52.75,180943
MN,,,0102,U.S. Senator,,0310,Royce White,,,R,1929,4105,19655,10.86,180943
MN,,,0102,U.S. Senator,,0401,Peggy Flanagan,,,DFL,1929,4105,133572,54.67,244334
MN,,,0102,U.S. Senator,,0402,Peter John Murgic,,,DFL,1929,4105,632,0.26,244334
MN,,,0102,U.S. Senator,,0403,George H Kalberer,,,DFL,1929,4105,763,0.31,244334
MN,,,0102,U.S. Senator,,0404,Kurt Michael Anderson,,,DFL,1929,4105,1691,0.69,244334
MN,,,0102,U.S. Senator,,0405,Angie Craig,,,DFL,1929,4105,106550,43.61,244334
MN,,,0102,U.S. Senator,,0406,Billy Nord,,,DFL,1929,4105,1126,0.46,244334
