office_title,priority,political_scope,election_scope,district_type,slug,subtitle,raw_office_title_1,raw_office_title_2
U.S. President,1,,,,,,,
U.S. Vice President,2,,,,,,,
U.S. Senator,3,federal,state,,tx-us-senate-1,Texas,U. S. SENATOR,
U.S. Representative,4,federal,district,congressional_district,tx-us-house-1,TX - District 1,U. S. REPRESENTATIVE DISTRICT 1,
Governor,5,state,state,,tx-governor,Texas,,
Lieutenant Governor,6,state,state,,tx-lieutenant-governor,Texas,,
Secretary of State,7,,,,,,,
Attorney General,8,state,state,,tx-attorney-general,Texas,,
Board of Education,10,state,district,board_of_education,tx-board-of-education-2,TX - District 2,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 2",
Railroad Commissioner,11,state,state,,tx-railroad-commissioner,Texas,,
Commissioner of Agriculture,11,state,state,,,,,
Commissioner of the General Land Office,11,state,state,,,,,
Comptroller of Public Accounts,11,state,state,,,,,
State Senator,15,state,district,state_senate,tx-state-senate-4,TX - Senate District 4,"STATE SENATOR, DISTRICT 4",
State Representative,16,state,district,state_house,tx-state-house-27,TX - House District 27,STATE REPRESENTATIVE DISTRICT 27,
Mayor,20,,,,,,,
City Council,21,,,,,,,
County Commissioner,22,local,district,county,tx-county-commissioner-kleberg-county-4,"Kleberg County, TX - Precinct 4",KLEBERG - COUNTY COMMISSIONER PRECINCT 4,
Justice of the Peace,23,local,district,justice_of_the_peace,tx-justice-of-the-peace-brazoria-county-2-2,"La Salle County, TX - Precinct 2",LASALLE - JUSTICE OF THE PEACE PRECINCT 2,"BRAZORIA - JUSTICE OF THE PEACE PRECINCT 2, PLACE 2"
County Constable,24,local,district,constable,tx-county-constable-lasalle-county-1-5-6,"La Salle County, TX - Precinct 1, 5, 6","LASALLE - COUNTY CONSTABLE PRECINCT 1, 5 & 6 - UNEXPIRED TERM",
County Clerk,25,local,county,,,,BREWSTER - COUNTY CLERK,
County & District Clerk,25,local,county,,,,OLDHAM - COUNTY CLERK/DISTRICT CLERK,
County Attorney,25,local,county,,,,,
County Treasurer,25,local,county,,,,,
County Surveyor,25,local,county,,,,,
County Tax Assessor-Collector,25,local,county,,,,,
County Judge,25,local,county,,tx-county-judge-brazoria-county,"Brazoria County, TX",BRAZORIA - COUNTY JUDGE,
District Clerk,25,local,county,,,,CAMERON - DISTRICT CLERK,
District Attorney,25,local,county,,tx-district-attorney-bexar-county,"Bexar County, TX",CRIMINAL DISTRICT ATTORNEY BEXAR COUNTY,
Department of Education,25,local,county,,,"Harris County, TX - At Large - Place 7","HARRIS - HARRIS COUNTY DEPARTMENT OF EDUCATION, PLACE 7","HARRIS - HARRIS COUNTY DEPARTMENT OF EDUCATION, PLACE 5"
Sheriff,26,local,county,,tx-sheriff-fisher-county,,FISHER - SHERIFF - UNEXPIRED TERM,
County Chair (D),27,local,county,,,,,
Precinct Chair (D),28,local,district,voting_precinct,tx-precinct-chair-d-anderson-county-1,"Anderson County, TX - Precinct 1",ANDERSON - PRECINCT CHAIR FOR PCHR_1_DEM,
Chief Justice - Supreme Court,40,state,state,,tx-chief-justice-supreme-court,Texas,"CHIEF JUSTICE, SUPREME COURT",
Justice - Supreme Court,41,state,state,,tx-justice-supreme-court-7,TX - Seat 7,"JUSTICE, SUPREME COURT, PLACE 7",
Chief Justice - Court of Appeals,42,state,district,court_of_appeals,tx-chief-justice-court-of-appeals-4,TX - District 4,"CHIEF JUSTICE, 4TH COURT OF APPEALS DISTRICT",
Justice - Court of Appeals,43,state,district,court_of_appeals,tx-justice-court-of-appeals-1-3,"TX - District 1, Seat 3","JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 3",
Judge - Court of Criminal Appeals,44,state,state,,tx-judge-court-of-criminal-appeals-3,,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 3",
Judge - District Court,45,state,district,judicial,tx-judge-district-court-83,,"DISTRICT JUDGE, 83RD JUDICIAL DISTRICT",
District Attorney,46,state,district,judicial,tx-district-attorney-268,,"DISTRICT ATTORNEY, 268TH JUDICIAL DISTRICT",
Judge - County Court at Law,50,local,county,,tx-judge-county-court-at-law-bexar-county-8,"Bexar County, TX - Court 8","BEXAR - JUDGE, COUNTY COURT AT LAW NO. 8",
Judge - 1st Multicounty Court at Law,50,local,county,,tx-judge-1st-multicounty-court-at-law,Texas,1ST MULTICOUNTY COURT AT LAW,
Judge - County Civil Court at Law,50,local,county,,tx-judge-county-civil-court-at-law-harris-county-1,"Harris County, TX - Court 1","HARRIS - JUDGE, COUNTY CIVIL COURT AT LAW NO. 1",
Judge - County Criminal Court at Law,50,local,county,,tx-judge-county-criminal-court-at-law-dallas-county-1,,"DALLAS - JUDGE, COUNTY CRIMINAL COURT AT LAW NO. 1","TARRANT - JUDGE, COUNTY CRIMINAL COURT NO. 5"
Judge - County Criminal Court of Appeals,50,local,county,,tx-judge-county-criminal-court-of-appeals-dallas-county-2,,"DALLAS - JUDGE, COUNTY CRIMINAL COURT OF APPEALS NO. 2",
Judge - Criminal District,50,local,county,,tx-judge-criminal-district-tarrant-county-1,"Tarrant County, TX - District 1",CRIMINAL DISTRICT JUDGE #1 TARRANT COUNTY,
Judge - Probate Court,50,local,county,,tx-judge-probate-court-denton-county-1,,"DENTON - JUDGE, COUNTY PROBATE COURT AT LAW NO. 1","HARRIS - JUDGE, PROBATE COURT NO. 2"
